oblast_or_country,pcode,# total population,# female population,# male population,# female younger population (0 - 14 years),# male younger population (0 - 14 years),# total younger population (0 - 14 years),# female older population (60 years and up),# male older population (60 years and up),# total older population (60 years and up),# registered IDPs,# people exposed,# people affected,# people in need,# people in level 1 humanitarian condition,# people in level 2 humanitarian condition,# people in level 3 humanitarian condition,# people in level 4 humanitarian condition,# people in level 5 humanitarian condition,# km² landmass affected,# km² controlled by Ukrainian authorities/forces,# km² controlled by Russian forces,# km² unconfirmed control,# battles,# explosions/remote violence,# violence against civilians,# fatalities,# civilian fatalities,# civilian injuries,# total infrastructure damage,# total access events,# unemployed people,period
Vinnytska,UA05,1018628,537725,480903,110508,117742,228250,238346,134465,372811,168123,1502430,544000,544000,958430,0,544000,0,0,26491,26491,0,0,0,1,0,0,24,204,0,0,4680,Apr2023
Volynska,UA07,1241643,644559,597084,95205,101245,196450,129037,73972,203009,53693,1018628,282000,282000,736628,0,282000,0,0,20149,20149,0,0,0,0,0,0,1,1,0,0,3167,Apr2023
Zakarpatska,UA21,1502430,805537,696893,117513,124691,242204,141186,88706,229892,142198,1241643,428000,428000,813643,0,428000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,0,2299,Apr2023
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,171718,1637673,883000,883000,754673,0,0,0,883000,27180,6659,20366,155,13,480,1,136,363,1010,14,25,10377,Apr2023
Zhytomyrska,UA18,1179801,629467,550334,92406,98146,190552,179745,98703,278448,65412,1179801,575000,575000,604801,0,575000,0,0,29839,29839,0,0,0,1,0,0,31,48,0,0,5808,Apr2023
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,133717,1157115,359000,359000,798115,0,359000,0,0,20940,20940,0,0,0,1,0,0,1,6,1,2,4610,May2023
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,71255,950773,477000,477000,473773,0,477000,0,0,31895,31895,0,0,0,137,0,3,489,735,5,6,4853,May2023
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,85527,887392,238000,238000,649392,0,238000,0,0,8095,8095,0,0,0,1,0,0,0,0,2,3,1588,May2023
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,383112,3093176,1100000,1100000,1993176,0,836000,264000,0,31910,31910,0,0,0,64,0,11,157,530,84,3,8947,May2023
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,78438,4046487,2600000,2600000,1446487,0,0,0,2600000,26500,10901,15357,242,328,1457,0,2508,2167,3263,152,37,5956,May2023
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,131455,1349096,360000,360000,989096,0,360000,0,0,13933,13933,0,0,0,0,0,0,0,0,0,2,3458,May2023
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,491409,2583325,1700000,1700000,883325,0,1479000,187000,34000,31435,30727,655,53,66,698,0,228,1782,2607,50,14,10015,May2023
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,22555,1000166,239000,239000,761166,0,0,0,239000,26657,6616,18935,1106,5,358,0,223,832,847,57,47,3184,May2023
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,79153,1225666,402000,402000,823666,0,402000,0,0,20628,20628,0,0,0,3,0,0,0,0,33,2,2952,May2023
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,91417,897297,245000,245000,652297,0,245000,0,0,24578,24578,0,0,0,2,0,0,6,13,2,2,3476,May2023
Kyiv,UA80,1789300,969870,819430,232566,248470,481036,401501,236765,638266,253475,2910994,1300000,1300000,1610994,0,1300000,0,0,834,834,0,0,0,17,0,3,72,114,3,3,3107,May2023
Kyivska,UA32,2910994,1568793,1342201,153069,163542,316611,253461,137057,390518,332216,1789300,1100000,1100000,689300,0,1100000,0,0,28132,28132,0,0,0,1,0,0,2290,734,0,4,5172,May2023
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,2098324,1200000,1200000,898324,0,0,0,1200000,26688,352,26207,129,67,138,1,199,725,971,3,30,2953,May2023
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,235973,2459763,605000,605000,1854763,0,605000,0,0,21824,21824,0,0,0,2,0,0,4,16,0,2,3738,May2023
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,121117,1091106,552000,552000,539106,0,149040,402960,0,24016,23897,119,0,0,26,0,0,490,1281,23,7,5795,May2023
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,150425,2340332,636000,636000,1704332,0,114480,521520,0,33348,33348,0,0,0,8,0,3,34,92,13,3,4917,May2023
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,189358,1344445,462000,462000,882445,0,462000,0,0,28723,28723,0,0,0,0,0,0,24,119,0,2,5314,May2023
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,53396,1140724,321000,321000,819724,0,321000,0,0,20053,20053,0,0,0,0,0,0,4,13,0,2,4248,May2023
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,80068,1033580,628000,628000,405580,0,628000,0,0,23842,23842,0,0,0,298,0,4,160,209,23,7,7689,May2023
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,75784,1018462,306000,306000,712462,0,306000,0,0,13833,13833,0,0,0,3,0,0,0,0,3,3,2010,May2023
Vinnytska,UA05,1018628,537725,480903,110508,117742,228250,238346,134465,372811,166724,1502430,544000,544000,958430,0,544000,0,0,26491,26491,0,0,0,0,0,0,24,204,0,2,4293,May2023
Volynska,UA07,1241643,644559,597084,95205,101245,196450,129037,73972,203009,52877,1018628,282000,282000,736628,0,282000,0,0,20149,20149,0,0,0,0,0,0,1,1,0,2,3073,May2023
Zakarpatska,UA21,1502430,805537,696893,117513,124691,242204,141186,88706,229892,141170,1241643,428000,428000,813643,0,428000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,2,2046,May2023
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,149458,1637673,883000,883000,754673,0,0,0,883000,27180,6659,20366,155,10,491,2,182,363,1010,4,47,10044,May2023
Zhytomyrska,UA18,1179801,629467,550334,92406,98146,190552,179745,98703,278448,64781,1179801,575000,575000,604801,0,575000,0,0,29839,29839,0,0,0,3,0,0,31,48,1,2,5772,May2023
Cherkaska,UA71,1330000,624475,532640,75552,81536,157088,196700,110769,307469,132933,1330000,359000,359000,971000,0,359000,0,0,20940,20940,0,0,0,2,0,0,1,6,4,0,4266,Jun2023
Chernihivska,UA74,1187000,518447,432326,61356,64084,125440,174896,90800,265696,71295,1187000,477000,477000,710000,0,477000,0,0,31895,31895,0,0,0,97,0,3,489,735,4,3,4622,Jun2023
Chernivetska,UA73,849000,468777,418615,73482,78391,151873,116988,69688,186676,84443,849000,238000,238000,611000,0,238000,0,0,8095,8095,0,0,0,0,0,0,0,0,0,0,1495,Jun2023
Dnipropetrovska,UA12,4272000,1680750,1412426,226943,240091,467034,503014,265558,768572,386553,4272000,1100000,1100000,3172000,0,836000,264000,0,31910,31910,0,0,0,58,0,16,157,530,42,5,8355,Jun2023
Donetska,UA14,2600000,2207252,1839235,204708,218811,423519,810872,465603,1276475,82505,2600000,2600000,2600000,0,0,0,0,2600000,26500,11003,15274,223,613,1373,1,897,2167,3263,86,19,5872,Jun2023
Ivano-Frankivska,UA26,1296000,711226,637870,108676,115708,224384,181690,108256,289946,130160,1296000,360000,360000,936000,0,360000,0,0,13933,13933,0,0,0,0,0,0,0,0,0,0,3340,Jun2023
Kharkivska,UA63,2978000,1384642,1198683,169358,180505,349863,412784,224680,637464,500059,2978000,1700000,1700000,1278000,0,1479000,187000,34000,31435,30731,662,42,57,684,0,300,1782,2607,35,25,9831,Jun2023
Khersonska,UA65,433000,535440,464726,76623,81913,158536,153827,84911,238738,25943,433000,239000,239000,194000,0,0,0,239000,26657,6616,18935,1106,17,418,3,280,832,847,113,107,2639,Jun2023
Khmelnytska,UA68,1250000,655503,570163,92902,97681,190583,193654,109045,302699,80162,1250000,402000,402000,848000,0,402000,0,0,20628,20628,0,0,0,3,0,0,0,0,0,0,2765,Jun2023
Kirovohradska,UA35,1148000,483025,414272,63954,67838,131792,148637,82051,230688,91089,1148000,245000,245000,903000,0,245000,0,0,24578,24578,0,0,0,4,0,0,6,13,1,0,3268,Jun2023
Kyiv,UA80,3853000,969870,819430,232566,248470,481036,401501,236765,638266,258875,3853000,1300000,1300000,2553000,0,1300000,0,0,834,834,0,0,0,7,0,8,72,114,0,0,2807,Jun2023
Kyivska,UA32,3229000,1568793,1342201,153069,163542,316611,253461,137057,390518,332457,3229000,1100000,1100000,2129000,0,1100000,0,0,28132,28132,0,0,0,0,0,0,2290,734,6,1,4782,Jun2023
Luhanska,UA44,1200000,1136515,961809,91298,98018,189316,436762,256423,693185,282493,1200000,1200000,1200000,0,0,0,0,1200000,26688,351,26209,128,113,101,3,310,725,971,2,10,2938,Jun2023
Lvivska,UA46,2640000,1294772,1164991,192773,203584,396357,343762,206012,549774,234945,2640000,605000,605000,2035000,0,605000,0,0,21824,21824,0,0,0,1,0,0,4,16,0,0,3700,Jun2023
Mykolaivska,UA48,1320000,584957,506149,79731,85170,164901,170974,95197,266171,115187,1320000,552000,552000,768000,0,149040,402960,0,24016,23897,119,0,0,28,0,0,490,1281,10,8,5318,Jun2023
Odeska,UA51,2581000,1237452,1102880,189998,203812,393810,333832,194370,528202,152963,2581000,636000,636000,1945000,0,114480,521520,0,33348,33348,0,0,0,6,0,6,34,92,10,4,4457,Jun2023
Poltavska,UA53,1701000,722656,621789,91171,97568,188739,219156,120834,339990,187312,1701000,462000,462000,1239000,0,462000,0,0,28723,28723,0,0,0,2,0,0,24,119,0,0,5015,Jun2023
Rivnenska,UA56,1088000,598625,542099,111755,117385,229140,138715,81699,220414,52707,1088000,321000,321000,767000,0,321000,0,0,20053,20053,0,0,0,0,0,0,4,13,0,0,4242,Jun2023
Sumska,UA59,1125000,558993,474587,64296,68282,132578,177893,100633,278526,81115,1125000,628000,628000,497000,0,628000,0,0,23842,23842,0,0,1,373,0,13,160,209,47,1,7526,Jun2023
Ternopilska,UA61,894000,541302,477160,76461,80396,156857,147742,86344,234086,74788,894000,306000,306000,588000,0,306000,0,0,13833,13833,0,0,0,0,0,0,0,0,0,0,1949,Jun2023
Vinnytska,UA05,1794000,537725,480903,110508,117742,228250,238346,134465,372811,165007,1794000,544000,544000,1250000,0,544000,0,0,26491,26491,0,0,0,0,0,0,24,204,0,0,3838,Jun2023
Volynska,UA07,1109000,644559,597084,95205,101245,196450,129037,73972,203009,52208,1109000,282000,282000,827000,0,282000,0,0,20149,20149,0,0,0,0,0,0,1,1,0,0,2863,Jun2023
Zakarpatska,UA21,900000,805537,696893,117513,124691,242204,141186,88706,229892,140160,900000,428000,428000,472000,0,428000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,0,1905,Jun2023
Zaporizka,UA23,1261000,889959,747714,112990,119983,232973,277337,147331,424668,152812,1261000,883000,883000,378000,0,0,0,883000,27180,6728,20291,161,152,477,6,1149,363,1010,12,22,9807,Jun2023
Zhytomyrska,UA18,1349000,629467,550334,92406,98146,190552,179745,98703,278448,64660,1349000,575000,575000,774000,0,575000,0,0,29839,29839,0,0,0,1,0,1,31,48,2,0,5776,Jun2023
Cherkaska,UA71,1330000,624475,532640,75552,81536,157088,196700,110769,307469,132260,1330000,359000,359000,971000,0,359000,0,0,20940,20940,0,0,0,3,0,0,1,6,2,2,4345,Jul2023
Chernihivska,UA74,1187000,518447,432326,61356,64084,125440,174896,90800,265696,70758,1187000,477000,477000,710000,0,477000,0,0,31895,31895,0,0,0,81,0,2,489,735,3,5,4563,Jul2023
Chernivetska,UA73,849000,468777,418615,73482,78391,151873,116988,69688,186676,84218,849000,238000,238000,611000,0,238000,0,0,8095,8095,0,0,0,0,0,0,0,0,0,2,1576,Jul2023
Dnipropetrovska,UA12,4272000,1680750,1412426,226943,240091,467034,503014,265558,768572,388845,4272000,1100000,1100000,3172000,0,836000,264000,0,31910,31910,0,0,0,56,1,8,157,530,34,6,8155,Jul2023
Donetska,UA14,2600000,2207252,1839235,204708,218811,423519,810872,465603,1276475,86252,2600000,2600000,2600000,0,0,0,0,2600000,26500,11003,15241,256,652,1212,1,1180,2167,3263,95,78,5723,Jul2023
Ivano-Frankivska,UA26,1296000,711226,637870,108676,115708,224384,181690,108256,289946,129266,1296000,360000,360000,936000,0,360000,0,0,13933,13933,0,0,0,0,0,0,0,0,0,2,3482,Jul2023
Kharkivska,UA63,2978000,1384642,1198683,169358,180505,349863,412784,224680,637464,510775,2978000,1700000,1700000,1278000,0,1479000,187000,34000,31435,30731,662,42,54,477,0,262,1782,2607,21,21,9629,Jul2023
Khersonska,UA65,433000,535440,464726,76623,81913,158536,153827,84911,238738,26752,433000,239000,239000,194000,0,0,0,239000,26657,6616,18925,1116,23,293,3,389,832,847,41,71,2533,Jul2023
Khmelnytska,UA68,1250000,655503,570163,92902,97681,190583,193654,109045,302699,79583,1250000,402000,402000,848000,0,402000,0,0,20628,20628,0,0,0,0,0,0,0,0,0,2,2767,Jul2023
Kirovohradska,UA35,1148000,483025,414272,63954,67838,131792,148637,82051,230688,90826,1148000,245000,245000,903000,0,245000,0,0,24578,24578,0,0,0,3,0,0,6,13,0,2,3229,Jul2023
Kyiv,UA80,3853000,969870,819430,232566,248470,481036,401501,236765,638266,264490,3853000,1300000,1300000,2553000,0,1300000,0,0,834,834,0,0,0,4,0,0,72,114,1,2,2770,Jul2023
Kyivska,UA32,3229000,1568793,1342201,153069,163542,316611,253461,137057,390518,334148,3229000,1100000,1100000,2129000,0,1100000,0,0,28132,28132,0,0,0,0,0,0,2290,734,0,4,4507,Jul2023
Luhanska,UA44,1200000,1136515,961809,91298,98018,189316,436762,256423,693185,282493,1200000,1200000,1200000,0,0,0,0,1200000,26688,351,26242,95,189,86,0,371,725,971,0,104,3013,Jul2023
Lvivska,UA46,2640000,1294772,1164991,192773,203584,396357,343762,206012,549774,233933,2640000,605000,605000,2035000,0,605000,0,0,21824,21824,0,0,0,1,0,10,4,16,8,3,3780,Jul2023
Mykolaivska,UA48,1320000,584957,506149,79731,85170,164901,170974,95197,266171,117475,1320000,552000,552000,768000,0,149040,402960,0,24016,23897,119,0,0,43,0,4,490,1281,10,9,5242,Jul2023
Odeska,UA51,2581000,1237452,1102880,189998,203812,393810,333832,194370,528202,155674,2581000,636000,636000,1945000,0,114480,521520,0,33348,33348,0,0,0,18,1,3,34,92,51,6,4261,Jul2023
Poltavska,UA53,1701000,722656,621789,91171,97568,188739,219156,120834,339990,186042,1701000,462000,462000,1239000,0,462000,0,0,28723,28723,0,0,0,1,0,0,24,119,0,2,5131,Jul2023
Rivnenska,UA56,1088000,598625,542099,111755,117385,229140,138715,81699,220414,51404,1088000,321000,321000,767000,0,321000,0,0,20053,20053,0,0,0,0,0,0,4,13,0,2,4285,Jul2023
Sumska,UA59,1125000,558993,474587,64296,68282,132578,177893,100633,278526,83154,1125000,628000,628000,497000,0,628000,0,0,23842,23842,0,0,1,293,0,13,160,209,27,7,7532,Jul2023
Ternopilska,UA61,894000,541302,477160,76461,80396,156857,147742,86344,234086,74268,894000,306000,306000,588000,0,306000,0,0,13833,13833,0,0,0,0,0,0,0,0,0,2,1983,Jul2023
Vinnytska,UA05,1794000,537725,480903,110508,117742,228250,238346,134465,372811,163295,1794000,544000,544000,1250000,0,544000,0,0,26491,26491,0,0,0,1,0,0,24,204,0,2,3841,Jul2023
Volynska,UA07,1109000,644559,597084,95205,101245,196450,129037,73972,203009,51818,1109000,282000,282000,827000,0,282000,0,0,20149,20149,0,0,0,0,0,0,1,1,0,2,2810,Jul2023
Zakarpatska,UA21,900000,805537,696893,117513,124691,242204,141186,88706,229892,139377,900000,428000,428000,472000,0,428000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,2,1792,Jul2023
Zaporizka,UA23,1261000,889959,747714,112990,119983,232973,277337,147331,424668,158586,1261000,883000,883000,378000,0,0,0,883000,27180,6728,20273,179,175,411,1,675,363,1010,9,60,9684,Jul2023
Zhytomyrska,UA18,1349000,629467,550334,92406,98146,190552,179745,98703,278448,64402,1349000,575000,575000,774000,0,575000,0,0,29839,29839,0,0,0,3,0,0,31,48,0,4,5703,Jul2023
Cherkaska,UA71,1330000,624475,532640,75552,81536,157088,196700,110769,307469,131286,1330000,359000,359000,971000,0,359000,0,0,20940,20940,0,0,0,1,0,0,1,6,3,2,4165,Aug2023
Chernihivska,UA74,1187000,518447,432326,61356,64084,125440,174896,90800,265696,70544,1187000,477000,477000,710000,0,477000,0,0,31895,31895,0,0,0,148,0,9,489,735,2,6,4395,Aug2023
Chernivetska,UA73,849000,468777,418615,73482,78391,151873,116988,69688,186676,83636,849000,238000,238000,611000,0,238000,0,0,8095,8095,0,0,0,0,0,0,0,0,0,0,1580,Aug2023
Dnipropetrovska,UA12,4272000,1680750,1412426,226943,240091,467034,503014,265558,768572,390420,4272000,1100000,1100000,3172000,0,836000,264000,0,31910,31910,0,0,0,60,0,3,157,530,49,2,7805,Aug2023
Donetska,UA14,2600000,2207252,1839235,204708,218811,423519,810872,465603,1276475,89873,2600000,2600000,2600000,0,0,0,0,2600000,26500,11003,15210,287,382,1464,0,982,2167,3263,53,51,5471,Aug2023
Ivano-Frankivska,UA26,1296000,711226,637870,108676,115708,224384,181690,108256,289946,129224,1296000,360000,360000,936000,0,360000,0,0,13933,13933,0,0,0,1,0,1,0,0,1,0,3481,Aug2023
Kharkivska,UA63,2978000,1384642,1198683,169358,180505,349863,412784,224680,637464,337443,2978000,1700000,1700000,1278000,0,1479000,187000,34000,31435,30731,662,42,84,518,0,252,1782,2607,21,12,7593,Aug2023
Khersonska,UA65,433000,535440,464726,76623,81913,158536,153827,84911,238738,28004,433000,239000,239000,194000,0,0,0,239000,26657,6616,18916,1125,19,355,1,307,832,847,36,37,2415,Aug2023
Khmelnytska,UA68,1250000,655503,570163,92902,97681,190583,193654,109045,302699,79211,1250000,402000,402000,848000,0,402000,0,0,20628,20628,0,0,0,5,0,0,0,0,3,0,2774,Aug2023
Kirovohradska,UA35,1148000,483025,414272,63954,67838,131792,148637,82051,230688,90274,1148000,245000,245000,903000,0,245000,0,0,24578,24578,0,0,0,0,0,0,6,13,0,0,3143,Aug2023
Kyiv,UA80,3853000,969870,819430,232566,248470,481036,401501,236765,638266,271789,3853000,1300000,1300000,2553000,0,1300000,0,0,834,834,0,0,0,4,0,2,72,114,1,0,2771,Aug2023
Kyivska,UA32,3229000,1568793,1342201,153069,163542,316611,253461,137057,390518,334354,3229000,1100000,1100000,2129000,0,1100000,0,0,28132,28132,0,0,0,4,0,0,2290,734,1,0,4478,Aug2023
Luhanska,UA44,1200000,1136515,961809,91298,98018,189316,436762,256423,693185,282493,1200000,1200000,1200000,0,0,0,0,1200000,26688,351,26244,93,119,103,0,332,725,971,3,56,3072,Aug2023
Lvivska,UA46,2640000,1294772,1164991,192773,203584,396357,343762,206012,549774,233052,2640000,605000,605000,2035000,0,605000,0,0,21824,21824,0,0,0,1,0,0,4,16,4,0,3993,Aug2023
Mykolaivska,UA48,1320000,584957,506149,79731,85170,164901,170974,95197,266171,118496,1320000,552000,552000,768000,0,149040,402960,0,24016,23897,119,0,0,35,0,1,490,1281,0,2,5039,Aug2023
Odeska,UA51,2581000,1237452,1102880,189998,203812,393810,333832,194370,528202,158475,2581000,636000,636000,1945000,0,114480,521520,0,33348,33348,0,0,1,5,0,0,34,92,18,3,4127,Aug2023
Poltavska,UA53,1701000,722656,621789,91171,97568,188739,219156,120834,339990,184129,1701000,462000,462000,1239000,0,462000,0,0,28723,28723,0,0,0,2,0,4,24,119,0,0,5063,Aug2023
Rivnenska,UA56,1088000,598625,542099,111755,117385,229140,138715,81699,220414,51690,1088000,321000,321000,767000,0,321000,0,0,20053,20053,0,0,0,3,0,0,4,13,1,2,4434,Aug2023
Sumska,UA59,1125000,558993,474587,64296,68282,132578,177893,100633,278526,84803,1125000,628000,628000,497000,0,628000,0,0,23842,23842,0,0,1,336,0,6,160,209,5,0,7278,Aug2023
Ternopilska,UA61,894000,541302,477160,76461,80396,156857,147742,86344,234086,73674,894000,306000,306000,588000,0,306000,0,0,13833,13833,0,0,0,0,0,0,0,0,0,0,2054,Aug2023
Vinnytska,UA05,1794000,537725,480903,110508,117742,228250,238346,134465,372811,162156,1794000,544000,544000,1250000,0,544000,0,0,26491,26491,0,0,0,0,0,0,24,204,0,0,3881,Aug2023
Volynska,UA07,1109000,644559,597084,95205,101245,196450,129037,73972,203009,50906,1109000,282000,282000,827000,0,282000,0,0,20149,20149,0,0,0,1,0,2,1,1,1,0,2837,Aug2023
Zakarpatska,UA21,900000,805537,696893,117513,124691,242204,141186,88706,229892,138512,900000,428000,428000,472000,0,428000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,0,1777,Aug2023
Zaporizka,UA23,1261000,889959,747714,112990,119983,232973,277337,147331,424668,161381,1261000,883000,883000,378000,0,0,0,883000,27180,6728,20230,222,118,561,0,619,363,1010,7,33,9493,Aug2023
Zhytomyrska,UA18,1349000,629467,550334,92406,98146,190552,179745,98703,278448,63443,1349000,575000,575000,774000,0,575000,0,0,29839,29839,0,0,0,2,0,0,31,48,0,1,5540,Aug2023
Cherkaska,UA71,1330000,624475,532640,75552,81536,157088,196700,110769,307469,131286,1330000,359000,359000,971000,0,359000,0,0,20940,20940,0,0,0,1,0,0,1,6,0,0,4165,Sep2023
Chernihivska,UA74,1187000,518447,432326,61356,64084,125440,174896,90800,265696,70544,1187000,477000,477000,710000,0,477000,0,0,31895,31895,0,0,0,88,0,0,489,735,0,0,4395,Sep2023
Chernivetska,UA73,849000,468777,418615,73482,78391,151873,116988,69688,186676,83636,849000,238000,238000,611000,0,238000,0,0,8095,8095,0,0,0,0,0,0,0,0,0,0,1580,Sep2023
Dnipropetrovska,UA12,4272000,1680750,1412426,226943,240091,467034,503014,265558,768572,390420,4272000,1100000,1100000,3172000,0,836000,264000,0,31910,31910,0,0,0,55,0,1,157,530,0,0,7805,Sep2023
Donetska,UA14,2600000,2207252,1839235,204708,218811,423519,810872,465603,1276475,89873,2600000,2600000,2600000,0,0,0,0,2600000,26500,11074,15198,228,265,926,0,547,2167,3263,0,0,5471,Sep2023
Ivano-Frankivska,UA26,1296000,711226,637870,108676,115708,224384,181690,108256,289946,129224,1296000,360000,360000,936000,0,360000,0,0,13933,13933,0,0,0,0,0,0,0,0,0,0,3481,Sep2023
Kharkivska,UA63,2978000,1384642,1198683,169358,180505,349863,412784,224680,637464,337443,2978000,1700000,1700000,1278000,0,1479000,187000,34000,31435,30731,662,42,30,327,0,138,1782,2607,0,1,7593,Sep2023
Khersonska,UA65,433000,535440,464726,76623,81913,158536,153827,84911,238738,28004,433000,239000,239000,194000,0,0,0,239000,26657,6625,18916,1116,12,204,0,219,832,847,0,0,2415,Sep2023
Khmelnytska,UA68,1250000,655503,570163,92902,97681,190583,193654,109045,302699,79211,1250000,402000,402000,848000,0,402000,0,0,20628,20628,0,0,0,3,0,0,0,0,0,0,2774,Sep2023
Kirovohradska,UA35,1148000,483025,414272,63954,67838,131792,148637,82051,230688,90274,1148000,245000,245000,903000,0,245000,0,0,24578,24578,0,0,0,0,0,0,6,13,0,0,3143,Sep2023
Kyiv,UA80,3853000,969870,819430,232566,248470,481036,401501,236765,638266,271789,3853000,1300000,1300000,2553000,0,1300000,0,0,834,834,0,0,0,7,0,0,72,114,0,0,2771,Sep2023
Kyivska,UA32,3229000,1568793,1342201,153069,163542,316611,253461,137057,390518,334354,3229000,1100000,1100000,2129000,0,1100000,0,0,28132,28132,0,0,0,2,0,1,2290,734,0,0,4478,Sep2023
Luhanska,UA44,1200000,1136515,961809,91298,98018,189316,436762,256423,693185,282493,1200000,1200000,1200000,0,0,0,0,1200000,26688,323,26244,121,57,64,0,160,725,971,0,0,3072,Sep2023
Lvivska,UA46,2640000,1294772,1164991,192773,203584,396357,343762,206012,549774,233052,2640000,605000,605000,2035000,0,605000,0,0,21824,21824,0,0,0,2,0,1,4,16,0,0,3993,Sep2023
Mykolaivska,UA48,1320000,584957,506149,79731,85170,164901,170974,95197,266171,118496,1320000,552000,552000,768000,0,149040,402960,0,24016,23897,119,0,0,9,0,1,490,1281,0,0,5039,Sep2023
Odeska,UA51,2581000,1237452,1102880,189998,203812,393810,333832,194370,528202,158475,2581000,636000,636000,1945000,0,114480,521520,0,33348,33348,0,0,0,12,0,1,34,92,0,0,4127,Sep2023
Poltavska,UA53,1701000,722656,621789,91171,97568,188739,219156,120834,339990,184129,1701000,462000,462000,1239000,0,462000,0,0,28723,28723,0,0,0,2,0,1,24,119,0,0,5063,Sep2023
Rivnenska,UA56,1088000,598625,542099,111755,117385,229140,138715,81699,220414,51690,1088000,321000,321000,767000,0,321000,0,0,20053,20053,0,0,0,1,0,0,4,13,0,0,4434,Sep2023
Sumska,UA59,1125000,558993,474587,64296,68282,132578,177893,100633,278526,84803,1125000,628000,628000,497000,0,628000,0,0,23842,23842,0,0,0,228,0,2,160,209,0,0,7278,Sep2023
Ternopilska,UA61,894000,541302,477160,76461,80396,156857,147742,86344,234086,73674,894000,306000,306000,588000,0,306000,0,0,13833,13833,0,0,0,0,0,0,0,0,0,0,2054,Sep2023
Vinnytska,UA05,1794000,537725,480903,110508,117742,228250,238346,134465,372811,162156,1794000,544000,544000,1250000,0,544000,0,0,26491,26491,0,0,0,1,0,0,24,204,0,0,3881,Sep2023
Volynska,UA07,1109000,644559,597084,95205,101245,196450,129037,73972,203009,50906,1109000,282000,282000,827000,0,282000,0,0,20149,20149,0,0,0,0,0,0,1,1,0,0,2837,Sep2023
Zakarpatska,UA21,900000,805537,696893,117513,124691,242204,141186,88706,229892,138512,900000,428000,428000,472000,0,428000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,0,1777,Sep2023
Zaporizka,UA23,1261000,889959,747714,112990,119983,232973,277337,147331,424668,161381,1261000,883000,883000,378000,0,0,0,883000,27180,6779,20215,186,78,359,1,296,363,1010,0,0,9493,Sep2023
Zhytomyrska,UA18,1349000,629467,550334,92406,98146,190552,179745,98703,278448,63443,1349000,575000,575000,774000,0,575000,0,0,29839,29839,0,0,0,0,0,0,31,48,0,0,5540,Sep2023